acctid,state,zip,rollout,cobal,collscr,cs,accessscr,lnacscr,bureauscr,eaglemod,numcalls,numrpcs,county,PctUnempl,MedIncome,IncomePctStateAvg,PctPoverty,Pct_ltHS,Pct_HS,Pct_SomeCollege,Pct_BachPlus,Pct_AnyDebtCollections,MedianDebtCollections,Pct_AutoLoan,Pct_AutoLoanCollections,Pct_CCLoanCollections,Pct_EduLoan,MedianEduLoan,Pct_EduLoanCollections,MedianMedDebt,Pct_MedDebtCollections,Pct_NoHealthIns
5519,AZ,85206,Wells,1860,06012743,6,0.1394,-1.97,131,3,55,1,04013,3.3,76230,110.5,11.3,11.15749581,22.02357049,32.46251888,34.35641482,26.4425,1897,31.1102,3.95944,3.37067,15.88688,18567,9.04062,717,12.59393,10.652
5520,PA,15370,Bank_Of_Am,2429,02014093,2,0.5231,-0.65,110,55,107,1,42059,5.3,55287,80.2,14.8,11.94739896,44.82691936,25.21755947,18.00812222,35.00949,1443,38.89943,5.6962,4.38312,14.70588,15778,8.3871,486,20.49336,4.24045
5521,FL,33134,Chase_Rev,1102,04013223,4,0.8336,-0.18,131,22,108,2,12086,2.6,58905,93.4,15.2,17.51028211,26.42735497,24.31392186,31.74844106,27.22036,2392,29.11401,3.74676,4.33116,12.18676,19970.5,8.23955,783,9.36833,13.94156
5522,MD,20721,Discover,7648,01015896,1,0.5130,-0.67,114,45,41,2,24033,3.5,89689,99.5,11.5,12.77031258,25.42442424,26.88405475,34.92120843,33.1945,1843.5,30.37816,6.11452,5.30234,20.68624,26762,9.1403,602.5,12.59421,10.61074
5523,VA,23451,Wells,1697,01019573,1,0.2005,-1.61,103,21,3,2,51810,2.8,81364,100.5,9.4,5.548167473,20.77468822,35.05981166,38.61733265,28.30163,1812,32.39709,3.56436,3.62508,18.34659,23482,8.10709,677,18.63715,6.00602
5524,OR,97211,Wells_FIB,1819,03013492,3,0.2905,-1.24,133,97,83,8,41051,3.9,77851,109,12.4,7.632992897,17.0215155,28.11193827,47.23355333,16.61489,1500.5,22.01735,2.16291,2.3429,19.28182,24287,7.86775,585,4.53097,5.87734
5525,RI,02816,Associates,3269,08012340,8,0.2143,-1.54,115,47,10,1,44003,2.9,74282,101.3,8.1,7.536188034,28.59611128,30.98953772,32.87816297,18.42984,1990,34.02005,1.70068,2.91439,17.37194,19508,5.66239,361,3.71195,4.22397
5526,TX,77957,Wells,1845,03013334,3,0.2575,-1.36,132,84,29,1,48239,3.5,60666,90.6,13.5,19.4251834,33.05195458,32.03698121,15.48588082,37.13592,2595,31.79612,10.58824,6.15385,10.19417,15912.38519,9.816377556,663.5,16.01942,16.18095
5527,FL,33810,Associates,1070,03013336,3,0.0300,-3.51,133,36,101,3,12105,3.5,56344,89.4,15.6,13.64263731,33.89936001,31.45216862,21.00583406,35.7929,2324,35.42603,4.83327,5.22608,13.9,18458,9.75682,1027,18.57043,13.56668
5528,PA,17319,Bank_Of_Am,4903,02014509,2,0.8509,-0.16,109,18,108,1,42133,3.8,72949,105.8,9.2,9.228183687,38.8831082,26.08119868,25.80750943,22.14961,1688,35.19216,2.74987,3.32742,18.00099,20805,7.22178,548,9.0005,4.84161
5529,MO,63104,Associates,1175,01015580,1,0.5939,-0.52,113,8,18,3,29510,3.1,49246,79.7,21.5,10.75324937,24.42555179,26.81353496,38.00766389,42.2239,1660,24.36368,7.99712,5.46617,20.98792,25431.5,11.81912,856,22.14193,10.95351
5530,AL,36784,Chase,8186,06012655,6,0.1239,-2.09,107,86,79,7,01131,7.8,30071,55.7,32.4,20.75761812,39.22281241,29.04668717,10.9728823,39.77591,1937,24.64986,9.02778,7.89474,13.72549,18222.27679,9.606924107,857.8688525,7.56303,10.3445
5531,KY,41011,Associates,5494,06012717,6,0.1118,-2.19,113,55,97,1,21117,3.3,70693,127.3,12.6,8.454289475,27.42980185,28.59272432,35.52318435,29.25275,1234,32.28422,3.9501,3.48872,18.7681,20912.5,6.99589,463,15.35045,3.9617
5532,AZ,85201,Discover,772,06012576,6,0.7647,-0.27,132,15,2,2,04013,3.3,76230,110.5,11.3,11.15749581,22.02357049,32.46251888,34.35641482,26.4425,1897,31.1102,3.95944,3.37067,15.88688,18567,9.04062,717,12.59393,10.652
5533,VA,20175,Associates,5293,07012525,7,0.1209,-2.11,103,99,48,2,51107,2.4,153716,189.9,3.6,5.933944019,11.57778744,19.51020225,62.9780663,11.22574,1526,30.84212,1.36956,1.53428,14.61103,21549,3.34728,496,5.08941,5.86526
5534,CA,95126,Bank_Of_Am,333,01019512,1,0.8212,-0.2,113,23,104,1,06085,2.6,141161,166.4,6.9,10.81273363,13.69970623,21.09559113,54.391969,10.99841,1745,20.25755,2.2752,1.57985,7.38474,18404,5.53283,585.5,3.57075,3.66807
5535,SC,29407,Discover,1411,02014144,2,0.0191,-3.96,145,55,114,3,45019,2.8,71755,120.7,13.8,7.114868334,20.98481219,25.16171722,46.73860225,30.12891,1747,29.40791,5.47696,3.27757,18.84058,25364,9.70236,621,17.02716,8.66262
5536,NY,11418,Associates,7741,06012632,6,0.9359,-0.07,100,98,70,3,36081,5.2,72807,98.1,13.6,17.2982753,26.69080995,22.08711692,33.92379783,17.6652,1670,15.89577,3.42374,3.44441,11.06656,20000,6.21861,351,3.76252,8.61479
5537,CA,94706,Wells,830,06012626,6,0.1784,-1.72,127,68,4,3,06001,3.3,108971,128.5,9.4,10.99556649,16.65392093,22.70746308,49.6430495,14.8565,1866,20.97298,2.93913,2.00185,10.51324,21097,6.57943,750,5.58146,4.22155
5538,AR,72002,Discover,2043,01019313,1,0.3577,-1.03,122,91,32,4,05125,2.8,68107,129.5,8.5,8.193282263,30.65998821,33.2327637,27.91396582,26.06061,1698,38.15547,3.34129,4.68883,17.99736,19533,6.73499,383.5,9.59157,5.18388
5539,WA,98588,Bank_Of_Am,821,10011825,10,0.5619,-0.58,103,76,15,13,53045,6.3,73696,87.6,12.6,9.594608824,30.81394124,40.86553649,18.72591345,17.38513,1847,30.98058,1.87735,2.76968,9.04784,18592,10.99476,454,4.45287,7.48351
