PlayerNumber	 Age 	 FedExCupPoints 	 Money 	 Round1Score 	 Round2Score 	 Round3Score 	 Round4Score 	 TotalStrokes 	 AverageDrive 	Drive_rank	 Percent_Birdie_when_GIR 	 Percent_Fairways 	 Percent_GIR 	 Putt_round 	 Percent_10foot 	 Percent_Outside10 
6004	46.2	27.9	"45,038.80"	71.8	69	71	71.8	283.6	272.76	211	0.27	67.86	65.28	29.1	88.21	13.12
6034	47	29	"21,840.00"	68	72	69	71	280	284.48	84	0.2	58.93	61.11	28.5	89.19	12.5
6197	52	10	"13,734.00"	74	70	66	77	287	271.82	222	0.28	78.18	63.89	58	85	9.52
6251	42	34.94	"41,022.15"	69.25	69.13	71.75	70.25	280.38	269	243	0.32	67.82	63.02	31.59	88.69	17.56
6515	42	14.33	"19,611.17"	70.83	71.33	71.5	73.83	287.5	272.88	209	0.24	57.12	58.1	28.58	88.03	13.79
6522	41	19	"28,404.44"	71.83	70.5	72.5	73	287.83	283.74	96.5	0.26	58.04	68.52	30.71	83.88	13.32
6527	43.63	128.56	"279,279.24"	69.13	68.88	67.75	70.75	276.5	278.27	159	0.36	66	68.06	27.66	89.05	17.63
6567	47.64	71.83	"138,204.54"	69.45	69.55	70.36	70.91	280.27	285.6	70	0.33	61.38	67.42	32.74	86.07	16.36
6573	45	55.14	"96,297.96"	69.27	70.73	70.64	70.09	280.73	285.59	71	0.31	65.26	68.94	30.21	86.51	15.41
6595	46	40.75	"68,173.21"	69.25	69.25	71	73.75	283.25	278.86	148	0.29	58.62	67.36	39.38	86.89	12.62
6621	46.5	36.5	"43,121.33"	68.25	70	70	71.25	279.5	273.18	207	0.26	75.86	70.14	31.33	87.56	18.21
6643	46	48.02	"117,702.54"	71.78	69.89	71.44	72.78	285.89	270.2	235	0.27	67.46	62.81	30.27	84.89	15.19
7457	43.33	25.05	"36,613.22"	71	70.89	71.22	71	284.11	271.15	228	0.31	62.7	55.56	27.67	89.97	14.32
7707	45	 -   	"12,152.00"	72	69	71	72	284	280.89	126	0.28	44.64	50	27	87.5	22.22
7749	41	36.5	"34,965.00"	72	65	75	71	283	268.29	246	0.34	72.73	61.11	56.5	87.18	11.76
7867	47	23.75	"19,040.25"	72	71	72.5	71	286.5	272.22	216	0.3	61.68	61.81	28	86.79	23.1
8075	44	58.21	"96,923.60"	69.71	68.71	70.43	69.71	278.57	267.14	254	0.26	69.64	64.09	28.39	91.21	14.31
8375	41	22.75	"22,298.17"	70.33	70	71.17	71.83	283.33	275.62	190	0.29	55.84	62.73	35	88.83	15.97
